Twitter handle,Likes,Tweet content,
sahildhruve,6,Start Coding Now it's gonna happen one day #Coding #webdeveloper #buildinpublic #letsconnect,
Parajulisaroj16,6,"Statistics plays a crucial role in modern medicine, aiding in the interpretation of data, identification of trends, and making informed decisions. https://pyoflife.com/practical-statistics-in-medicine-with-r/… #DataScience #rstats #DataScientist #DataAnalytics #medicine #r #programming #Datavisualization #coding",
KirkDBorne,0,Top #Python Libraries ————— #DataScience #DataScientist #Coding #AI #MachineLearning #DeepLearning,
logicalpython,3,Python Quiz. What is the answer of the below question?  Detailed Solution :- https://logicalpython.com/best-python-quizzes-for-intermittent-level/#305… ------------------ #Python #Programming #Coding #pythonprogramming,
21issavage,9,"#100DaysOfCode  Day 42 You can’t spot the difference between the one I’m building and the one I’m copying, it’s called perfection  Rate my CSS skills!  Don’t forget to #CONNECT with me when you see this! #coding #ui #design",
thetechDiva,2,Day10#100DaysOfCode  Things I learnt today JavaScript  -Reviewed CSS -Organize Javastript and CSS code into separate files  #100daysofcode  #frontenddeveloper #cyberspace ,
Simran_0708,8,Day 26 and 27of #100DaysOfCode  LeetCode Daily Ques - Polygon with the largest perimeter + Least no. of unique integers after k rem Linked List - 5 questions  NodeJS file structure and Axios #coding #Node,
McAnswersai,8,She can't but http://McAnswers.ai can do it for free!  #Mcanswers #Coding #codinglife,
javascriptdevaz,4,"Responsive Admin Dashboard with Light & Dark Mode using HTML, CSS, and JavaScript ☞ https://morioh.com/p/b249c86ab71d?f=5cb7d89d660c8335951ca454…  #html #css #javascript #programming #developer #morioh #programmer #coding #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment",
CodeWithJase,0,Day 21:  Learning about HTML Forms!     #100DaysOfCode #Coding #HTML #CSS #Connect #Tech #100DaysOfCoding #WebDeveloper,
crnacura,1,"I got a weakness for *some* skeuomorphism, so I had to try and recreate this reflection effect  No WebGL, just a negatively scaled clone that is being scrolled with the page...   I'm really bad with gradients and shadows, this could definitely look better!   #gsap #css #coding…",
Brass_Synergy,6,New Job Available   Want to find out more about this job? Want to get daily notifications of new jobs?  Join our Discord server: https://hubs.la/Q02kG9Cj0  #DevJobs #Coding #TechCareers #Programming #WebDevelopment,
SadDamniT,5,#JavaScript function to calculate the square of a number:  Simple and effective!  #Coding #WebDev,
PratikS0410,3,"Day 54 of #100DaysOfSwiftUI: Lists leveled up!  Combined #SwiftData magic with List and Binding, building dynamic and data-driven interfaces!  #SwiftUI #Apple #iosdev #Coding #CodingJourney #buildinpublic #Indiedevs",
SunnyVStudio,6,Need to do some repetitive code edits?   In Visual Studio you can hold Alt to select and edit multiple lines simultaneously  It should save you some time   #unitytips #unity3d #gamedev #coding,
TechChampionsng,5,Code your way into that special someone heart  Learn how to craft a personalized website in 5minutes! #valentine #coding #webdevelopment #webdeveloper #techhacks #Linux,
reactdevz,1,How to create Dark Theme in React | Toggle Theme React Tutorial ☞ https://morioh.com/p/a926bd54d8fa?f=5cb7d89d660c8335951ca454…  #react #javascript #programming #developer #morioh #programmer #coding #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment,
vimehraa29,3,Reason Why are you Coding ?  Mine : Paisa   #Coding #buildinpublic,
